Algoritmo,Tamanho,Tempo_Medio(ms),Distancia_Media,Desvio_Tempo,Desvio_Distancia
IMB + 2-opt,50,0.227,356.53,0.040,37.25
Insercao Mais Barata,50,0.131,510.10,0.001,48.32
VMP + 2-opt,50,0.061,319.09,0.018,34.13
Vizinho Mais Proximo,50,0.010,434.54,0.002,53.21
IMB + 2-opt,100,1.457,456.87,0.145,30.72
Insercao Mais Barata,100,1.014,714.54,0.102,70.50
VMP + 2-opt,100,0.300,410.86,0.104,25.85
Vizinho Mais Proximo,100,0.029,564.11,0.002,51.52
IMB + 2-opt,200,10.489,691.08,0.878,34.59
Insercao Mais Barata,200,7.837,1047.56,0.253,41.79
VMP + 2-opt,200,1.972,529.32,0.414,14.82
Vizinho Mais Proximo,200,0.081,750.66,0.006,86.46
IMB + 2-opt,300,32.334,1020.45,0.611,35.52
Insercao Mais Barata,300,29.239,1312.04,0.799,43.33
VMP + 2-opt,300,4.597,640.56,0.836,26.74
Vizinho Mais Proximo,300,0.172,903.97,0.021,37.95
IMB + 2-opt,500,146.072,1528.37,1.714,39.86
Insercao Mais Barata,500,140.159,1776.99,1.376,46.33
VMP + 2-opt,500,17.441,861.56,3.729,20.06
Vizinho Mais Proximo,500,0.407,1121.83,0.035,74.82
IMB + 2-opt,750,568.723,2095.71,78.207,44.53
Insercao Mais Barata,750,520.529,2297.41,38.794,34.00
VMP + 2-opt,750,40.377,1147.94,11.776,15.77
Vizinho Mais Proximo,750,0.929,1422.18,0.088,63.27
IMB + 2-opt,1000,1601.489,2586.02,135.852,19.10
Insercao Mais Barata,1000,1521.088,2786.18,204.737,42.04
VMP + 2-opt,1000,56.751,1423.64,11.460,24.61
Vizinho Mais Proximo,1000,1.517,1671.90,0.052,39.29
IMB + 2-opt,2000,32581.233,4379.89,1227.322,20.76
Insercao Mais Barata,2000,31742.359,4489.43,804.107,25.79
VMP + 2-opt,2000,139.119,2488.22,40.011,15.89
Vizinho Mais Proximo,2000,6.028,2719.39,0.168,61.39
